Id,size,cres,CREs_percent,inconsistencies,incon_percent,groups_cres,groups_percent,avg_time_ms,avg_mem_MB
1,33716,22730,20158\bluewhitebar{0.887},8115,7242\redwhitebar{0.892},20096,7242\greenwhitebar{0.360},20.81,0.25
2,26857,18193,14809\bluewhitebar{0.814},5799,4658\redwhitebar{0.803},14576,4658\greenwhitebar{0.320},12.41,0.28
3,25513,17287,15478\bluewhitebar{0.895},5430,4754\redwhitebar{0.876},15421,4754\greenwhitebar{0.308},12.80,0.26
4,24599,15278,12411\bluewhitebar{0.812},5198,4285\redwhitebar{0.824},12210,4285\greenwhitebar{0.351},12.16,0.25
5,19551,16739,13434\bluewhitebar{0.803},4827,3612\redwhitebar{0.748},13057,3612\greenwhitebar{0.277},11.48,0.30
6,19290,14285,11838\bluewhitebar{0.829},4346,3381\redwhitebar{0.778},11652,3381\greenwhitebar{0.290},10.36,0.31
7,19266,12375,10385\bluewhitebar{0.839},3861,3158\redwhitebar{0.818},10295,3158\greenwhitebar{0.307},8.67,0.21
8,18307,13256,10675\bluewhitebar{0.805},4023,3020\redwhitebar{0.751},10371,3020\greenwhitebar{0.291},9.42,0.31
9,17979,7115,522\bluewhitebar{0.073},411,32\redwhitebar{0.078},331,32\greenwhitebar{0.097},4.31,0.76
10,17066,10273,8183\bluewhitebar{0.797},3279,2228\redwhitebar{0.679},8044,2228\greenwhitebar{0.277},8.98,0.42
11,16572,11204,9713\bluewhitebar{0.867},2597,2361\redwhitebar{0.909},9690,2361\greenwhitebar{0.244},7.31,0.26
12,15520,9608,7286\bluewhitebar{0.758},2806,2299\redwhitebar{0.819},7187,2299\greenwhitebar{0.320},5.87,0.41
13,15506,11511,8534\bluewhitebar{0.741},3816,2444\redwhitebar{0.640},8330,2444\greenwhitebar{0.293},7.25,0.37
14,14461,10062,8425\bluewhitebar{0.837},3220,2593\redwhitebar{0.805},8291,2593\greenwhitebar{0.313},6.18,0.24
15,13897,10458,8491\bluewhitebar{0.812},3201,2553\redwhitebar{0.798},8375,2553\greenwhitebar{0.305},6.33,0.38
16,11131,7888,6150\bluewhitebar{0.780},2180,1540\redwhitebar{0.706},5978,1540\greenwhitebar{0.258},4.71,0.23
17,10893,7863,6665\bluewhitebar{0.848},2391,1933\redwhitebar{0.808},6596,1933\greenwhitebar{0.293},4.98,0.30
18,9753,7755,7105\bluewhitebar{0.916},1922,1812\redwhitebar{0.943},7105,1812\greenwhitebar{0.255},4.70,0.40
19,8949,6140,5284\bluewhitebar{0.861},1931,1586\redwhitebar{0.821},5199,1586\greenwhitebar{0.305},4.15,0.43
20,8895,5743,4563\bluewhitebar{0.795},1862,1526\redwhitebar{0.820},4491,1526\greenwhitebar{0.340},3.76,0.51
21,8848,6104,4903\bluewhitebar{0.803},1892,1415\redwhitebar{0.748},4806,1415\greenwhitebar{0.294},3.39,0.24
22,8671,6268,5340\bluewhitebar{0.852},1892,1526\redwhitebar{0.807},5305,1526\greenwhitebar{0.288},3.77,0.34
23,4757,3229,2810\bluewhitebar{0.870},933,745\redwhitebar{0.798},2794,745\greenwhitebar{0.267},2.25,0.31
24,4501,3254,2867\bluewhitebar{0.881},964,864\redwhitebar{0.896},2851,864\greenwhitebar{0.303},2.12,0.47
25,4464,3816,3325\bluewhitebar{0.871},1228,1060\redwhitebar{0.863},3312,1060\greenwhitebar{0.320},2.07,0.23
26,4425,2992,2672\bluewhitebar{0.893},791,681\redwhitebar{0.861},2650,681\greenwhitebar{0.257},1.83,0.59
27,4388,3054,2595\bluewhitebar{0.850},795,634\redwhitebar{0.797},2578,634\greenwhitebar{0.246},1.90,0.68
28,4215,3533,2969\bluewhitebar{0.840},996,763\redwhitebar{0.766},2940,763\greenwhitebar{0.260},2.17,0.37
29,4214,3401,2760\bluewhitebar{0.812},962,770\redwhitebar{0.800},2710,770\greenwhitebar{0.284},1.88,0.32
30,4180,2943,2259\bluewhitebar{0.768},882,642\redwhitebar{0.728},2211,642\greenwhitebar{0.290},1.69,0.44
31,4174,2905,2156\bluewhitebar{0.742},798,648\redwhitebar{0.812},2116,648\greenwhitebar{0.306},1.60,0.31
32,4170,2715,2450\bluewhitebar{0.902},844,776\redwhitebar{0.919},2448,776\greenwhitebar{0.317},1.36,0.38
33,4165,2787,2270\bluewhitebar{0.814},859,671\redwhitebar{0.781},2236,671\greenwhitebar{0.300},1.87,0.27
34,4146,2105,1828\bluewhitebar{0.868},627,511\redwhitebar{0.815},1816,511\greenwhitebar{0.281},1.24,0.28
35,4100,2870,2495\bluewhitebar{0.869},778,638\redwhitebar{0.820},2480,638\greenwhitebar{0.257},1.94,0.39
36,4059,3008,2562\bluewhitebar{0.852},845,678\redwhitebar{0.802},2527,678\greenwhitebar{0.268},1.58,0.25
37,3861,2472,2106\bluewhitebar{0.852},734,568\redwhitebar{0.774},2092,568\greenwhitebar{0.272},1.49,0.36
38,3804,2783,2267\bluewhitebar{0.815},824,667\redwhitebar{0.809},2239,667\greenwhitebar{0.298},1.98,0.61
39,3785,2811,2346\bluewhitebar{0.835},773,616\redwhitebar{0.797},2326,616\greenwhitebar{0.265},1.50,0.40
40,3736,3037,2437\bluewhitebar{0.802},859,671\redwhitebar{0.781},2384,671\greenwhitebar{0.281},2.05,0.44
41,3729,2467,1974\bluewhitebar{0.800},713,508\redwhitebar{0.712},1953,508\greenwhitebar{0.260},1.50,0.25
42,3669,2648,2281\bluewhitebar{0.861},764,678\redwhitebar{0.887},2268,678\greenwhitebar{0.299},1.65,0.23
43,3641,2560,2183\bluewhitebar{0.853},735,588\redwhitebar{0.800},2137,588\greenwhitebar{0.275},1.85,0.39
44,3585,2607,2247\bluewhitebar{0.862},837,727\redwhitebar{0.869},2221,727\greenwhitebar{0.327},1.48,0.27
45,3548,2468,2095\bluewhitebar{0.849},835,669\redwhitebar{0.801},2085,669\greenwhitebar{0.321},1.43,0.47
46,3518,2294,1975\bluewhitebar{0.861},727,567\redwhitebar{0.780},1958,567\greenwhitebar{0.290},1.22,0.63
47,3485,2701,2252\bluewhitebar{0.834},790,595\redwhitebar{0.753},2210,595\greenwhitebar{0.269},1.66,0.32
48,3430,1949,1487\bluewhitebar{0.763},620,512\redwhitebar{0.826},1454,512\greenwhitebar{0.352},1.16,0.77
49,2980,1689,1445\bluewhitebar{0.856},571,493\redwhitebar{0.863},1436,493\greenwhitebar{0.343},1.09,0.31
50,2955,1703,1512\bluewhitebar{0.888},518,452\redwhitebar{0.873},1494,452\greenwhitebar{0.303},1.25,0.69
