ID,pse_min,pse_avg,pse_max,pse_std,nse_min,nse_avg,nse_max,nse_std,time_min,time_avg,time_max,time_std,mem_min,mem_avg,mem_max,mem_std
1,0,1057.64,1389,404.38,0,40.89,61,8.03,0.0,39.28,12269.12,303.44,4970,5808.78,6090,230.35
2,0,353.85,482,125.14,0,25.99,36,7.29,0.0,0.97,36.1,1.61,4472,5264.23,5775,273.44
3,0,136.51,202,44.64,0,68.37,93,16.32,0.0,1.83,71.61,3.32,3588,4782.55,5716,438.36
4,0,503.42,647,161.59,0,28.1,48,9.9,0.0,0.83,61.34,1.57,3883,4875.57,5748,449.46
5,0,92.42,135,27.99,0,10.07,18,4.19,0.0,0.88,67.95,1.61,3337,4560.42,5768,603.51
6,1,75.16,104,21.77,0,2.89,19,2.99,0.0,0.83,68.08,1.48,3109,4480.06,5764,703.59
7,0,121.09,162,39.66,0,7.41,16,3.37,0.0,1.3,90.23,2.65,2726,4175.62,5746,793.74
8,0,91.99,140,35.72,0,19.97,58,8.65,0.0,1.06,64.9,1.68,3199,4537.58,5766,665.57
9,0,0.5,8,1.31,0,0.0,0,0.0,0.09,0.84,4.0,0.71,3669,5292.02,5774,862.9
10,0,254.04,333,74.85,0,5.27,9,2.25,0.0,0.61,37.04,0.71,2493,4147.53,5771,851.86
11,0,18.38,37,5.41,0,42.02,122,39.02,0.0,2.74,86.11,5.6,2550,4095.32,5536,788.03
12,0,155.51,227,68.66,0,3.42,5,1.09,0.0,0.87,58.71,1.35,2264,3761.02,5292,832.84
13,0,122.19,201,40.63,0,13.95,24,4.96,0.0,0.7,65.5,1.07,2715,4268.52,5774,826.14
14,0,138.22,223,67.02,0,7.6,23,2.56,0.0,3.09,87.05,7.77,2310,3785.12,5325,830.72
15,0,129.99,197,51.38,0,2.73,11,2.69,0.0,0.89,35.44,0.92,2125,3161.64,4118,509.91
16,0,44.37,64,13.68,0,29.34,35,4.29,0.0,1.04,47.25,1.66,1788,2780.79,3780,545.72
17,0,69.12,99,23.15,0,3.58,14,2.4,0.0,1.09,67.3,2.37,1782,2963.9,4240,692.93
18,0,1.51,101,8.63,0,1.35,85,7.71,0.08,4.03,63.88,7.45,1667,2767.49,4107,599.34
19,0,18.41,65,10.67,0,0.19,20,1.08,0.0,0.78,45.65,1.24,1440,2102.29,2795,353.41
20,0,143.0,183,42.43,0,10.1,17,2.85,0.0,0.64,22.21,0.64,1301,2145.67,3090,473.02
21,0,142.61,190,51.69,0,4.25,15,2.02,0.0,0.8,54.07,1.44,1348,2371.68,3312,534.06
22,1,103.9,139,27.88,0,8.66,18,1.89,0.0,0.73,41.26,0.96,1261,2195.57,3199,521.23
23,1,73.89,93,14.92,0,0.18,15,1.13,0.0,0.75,26.32,0.84,681,1284.41,1827,329.68
24,0,24.61,37,5.82,0,13.13,18,2.12,0.0,0.67,31.58,0.94,698,1130.51,1587,246.79
25,0,16.82,47,9.3,0,1.16,8,0.96,0.0,0.66,17.23,0.63,724,1465.77,2103,381.59
26,0,0.29,12,1.26,0,0.27,22,1.9,0.05,1.24,42.18,1.88,719,1404.16,2004,366.01
27,0,4.72,12,2.65,0,5.29,12,4.55,0.0,1.69,32.26,2.29,690,1277.37,1938,364.46
28,1,16.08,23,4.71,0,3.37,5,0.93,0.0,0.74,32.95,1.01,676,1345.93,1980,407.51
29,0,19.04,28,7.49,0,0.03,3,0.27,0.0,0.64,23.18,0.71,760,1402.69,1976,298.41
30,0,15.62,28,4.08,0,14.95,27,6.81,0.0,0.6,3.92,0.4,651,1034.54,1497,230.53
31,1,24.71,36,9.66,0,2.14,8,1.37,0.0,1.04,15.88,1.21,640,904.26,1193,136.18
32,0,26.39,64,13.15,0,13.91,24,6.02,0.0,0.87,30.62,1.26,612,988.89,1347,191.48
33,0,60.26,82,20.64,0,0.13,6,0.51,0.0,0.76,24.31,0.88,683,1218.7,1797,292.7
34,11,28.36,40,7.24,15,59.78,73,16.82,0.0,0.86,23.66,1.04,557,895.3,1317,205.36
35,0,48.47,64,12.94,0,34.93,45,10.51,0.0,0.71,29.8,0.99,669,1082.63,1496,211.93
36,1,7.33,21,3.79,1,16.29,26,6.07,0.0,0.74,7.06,0.51,626,950.74,1316,186.72
37,0,2.34,21,1.94,0,15.17,23,3.65,0.0,0.72,25.45,0.88,591,924.87,1465,235.9
38,0,5.88,17,3.98,0,0.29,12,1.33,0.0,0.66,19.27,0.69,609,1108.32,1600,252.52
39,0,24.84,40,9.02,0,2.86,6,0.76,0.01,0.91,29.12,1.03,630,1251.55,1800,337.12
40,0,18.44,29,6.92,0,0.94,4,0.43,0.0,0.77,9.69,0.66,646,1045.24,1571,274.63
41,0,19.68,39,11.55,0,0.0,1,0.06,0.0,0.66,12.89,0.6,560,882.18,1208,180.48
42,0,20.87,31,4.18,0,2.86,10,1.64,0.0,0.82,24.25,1.08,581,1174.8,1786,332.84
43,0,7.45,25,4.21,0,1.11,6,1.04,0.0,0.78,13.71,0.8,614,1080.89,1694,271.85
44,0,16.42,41,6.36,0,9.48,13,1.05,0.0,0.86,22.54,1.1,557,888.43,1250,174.08
45,0,74.58,122,32.18,0,0.07,7,0.49,0.0,0.57,6.37,0.39,556,1092.02,1576,272.81
46,0,3.05,11,1.73,0,1.67,3,0.76,0.0,0.74,12.69,0.69,528,1045.05,1495,257.2
47,0,18.02,27,4.76,0,2.94,5,0.59,0.0,0.55,21.04,0.76,620,1016.89,1716,321.33
48,0,61.61,88,28.13,0,6.48,24,3.2,0.0,0.63,24.02,0.86,547,1030.02,1520,282.07
49,0,62.01,90,16.18,0,1.93,4,0.37,0.0,1.62,28.79,2.21,469,773.17,1048,158.34
50,0,35.99,40,6.49,0,27.15,36,5.56,0.0,3.25,53.87,3.96,444,876.52,1262,231.13
