repairs,size,model_name,percentage_owned
5085,204,ATM,0
14,204,ATM,1
5135,204,ATM,100
2170,448,eBullition,0
2406,448,eBullition,100
69,292,MicrowaveOven,1
34,292,MicrowaveOven,0
103,292,MicrowaveOven,100
265,385,ModelViewController,0
88,385,ModelViewController,1
353,385,ModelViewController,100
10,71,VODRepairPaper,0
13,71,VODRepairPaper,1
29,71,VODRepairPaper,100
28382,1540,UMLModelIOCF05aT12V50,100
23884,1540,UMLModelIOCF05aT12V50,0
145,1540,UMLModelIOCF05aT12V50,1
102,1257,TeleoperatedRobot,1
58,1257,TeleoperatedRobot,0
160,1257,TeleoperatedRobot,100
6815,1464,HomeApplianceControlSystem,100
1017,1464,HomeApplianceControlSystem,1
5798,1464,HomeApplianceControlSystem,0
13591,11419,WordPad,0
13591,11419,WordPad,100
2246,2048,iTalks,0
2260,2048,iTalks,1
4686,2048,iTalks,100
2674,2636,BiterRobocupClient,0
2674,2636,BiterRobocupClient,100
1535,1064,InventoryandSalesSystemLCA,0
839,1064,InventoryandSalesSystemLCA,1
1942,1064,InventoryandSalesSystemLCA,100
32011,15619,VInsuranceNetworkFeesandClaims,0
33805,15619,VInsuranceNetworkFeesandClaims,100
1611,15619,VInsuranceNetworkFeesandClaims,1
39116,9853,oodt07,0
39116,9853,oodt07,100
5077,2796,Calendarium21,0
828,2796,Calendarium21,1
6031,2796,Calendarium21,100
1382,3009,UMLLCAF03aT1,0
170,3009,UMLLCAF03aT1,1
1536,3009,UMLLCAF03aT1,100
236,448,eBullition,1
6434,8771,dSpace32,0
6434,8771,dSpace32,100
11530,1466,VacationandSickLeaveSystem,100
10941,1466,VacationandSickLeaveSystem,0
589,1466,VacationandSickLeaveSystem,1
7468,2093,BuildingManagementSystem,100
5996,2093,BuildingManagementSystem,0
1272,2093,BuildingManagementSystem,1
18904,5857,XVNPI,0
20947,5857,XVNPI,100
1767,5857,XVNPI,1
1891,1979,DESI23,0
1891,1979,DESI23,100
346,621,CurriculumPlanner,1
943,621,CurriculumPlanner,0
1865,621,CurriculumPlanner,100
1899,1100,Dice3,0
417,1100,Dice3,1
3640,1100,Dice3,100
5858,1261,CourseRegistrationSystem,0
827,1261,CourseRegistrationSystem,1
6889,1261,CourseRegistrationSystem,100
