model_id,model_size,group_type,groups,average,std
1,9823,0,2484,2.77,0.59
1,9823,1,1958,3.68,1.53
1,9823,2,7,2.43,0.73
2,8757,0,1009,2.62,0.6
2,8757,1,1261,3.81,2.18
3,8074,0,829,2.71,0.55
3,8074,1,2473,3.93,2.57
3,8074,2,13,2.00,0
4,5754,0,685,2.78,0.9
4,5754,1,2615,6.17,15.31
4,5754,2,357,7.75,11.05
5,4231,0,318,2.76,0.47
5,4231,1,109,3.68,0.98
6,3428,0,173,2.86,0.56
6,3428,1,247,3.64,1.45
7,3216,0,310,2.92,0.68
7,3216,1,535,3.62,2.59
7,3216,2,17,2.00,0
8,2704,0,294,2.77,1.49
8,2704,1,752,3.30,3.91
8,2704,2,137,4.10,6.78
9,2628,0,391,3.05,0.91
9,2628,1,335,3.99,2.64
10,2508,0,265,2.43,0.58
10,2508,1,504,3.64,3.27
10,2508,2,141,3.91,5.03
12,2445,0,79,3.62,3.96
13,2245,0,249,2.91,2.3
13,2245,1,376,3.03,1.48
13,2245,2,49,2.43,1.05
11,2059,0,224,2.79,2.14
11,2059,1,555,4.41,5.74
11,2059,2,110,4.86,5.9
14,1970,0,258,2.69,0.7
14,1970,1,119,3.58,1.25
15,1949,0,286,2.49,0.6
15,1949,1,215,3.44,1.84
15,1949,2,110,2.00,0
16,1935,0,97,2.16,1.03
16,1935,1,161,4.07,2.62
17,1781,0,111,3.54,13.88
17,1781,1,88,2.98,3.36
17,1781,2,1,33.00,0
18,1706,0,207,2.93,0.7
18,1706,1,133,3.87,1.26
19,1441,0,159,2.55,1.1
19,1441,1,310,7.17,8.88
19,1441,2,85,6.87,8
20,1437,0,118,2.73,4.94
20,1437,1,365,3.56,3.29
20,1437,2,99,3.33,3.77
21,1211,0,74,3.01,2.95
21,1211,1,153,3.82,2.67
21,1211,2,48,3.17,2.61
22,1086,0,84,2.40,0.64
22,1086,1,229,3.74,3.13
22,1086,2,49,2.27,0.44
23,1032,0,46,2.33,0.47
23,1032,1,374,2.82,1.64
23,1032,2,38,3.11,2.33
24,1029,0,72,2.85,3.03
24,1029,1,62,3.23,1.01
24,1029,2,19,2.11,0.31
37,801,0,36,2.83,1.46
37,801,1,69,2.51,0.94
37,801,2,13,2.00,0
25,728,0,42,3.10,0.81
25,728,1,10,4.00,1.41
26,617,0,62,2.53,0.61
26,617,1,166,2.66,1.54
26,617,2,30,2.00,0
27,575,0,46,3.35,0.7
27,575,1,101,2.09,0.51
28,560,0,6,2.17,0.37
28,560,1,84,4.13,3.56
34,536,0,18,3.06,0.52
29,516,0,39,3.18,1.01
29,516,1,73,2.89,1.4
29,516,2,18,2.00,0
30,452,0,30,3.53,0.72
30,452,1,70,2.73,0.89
31,446,0,27,3.15,0.8
31,446,1,90,3.74,2.04
31,446,2,19,2.00,0
32,427,0,15,2.40,0.61
32,427,1,10,3.70,0.64
33,425,0,40,3.98,0.16
33,425,1,39,2.23,0.8
35,382,0,20,2.90,0.83
35,382,1,64,3.97,1.41
35,382,2,7,2.00,0
36,370,0,14,2.71,0.45
36,370,1,3,2.00,0
38,254,0,11,3.00,2.26
38,254,1,26,3.27,1.02
38,254,2,12,2.33,0.75
39,248,0,10,2.70,0.46
40,206,0,18,3.39,0.68
40,206,1,27,2.81,1.09
40,206,2,5,2.00,0
41,202,0,15,2.73,0.57
41,202,1,34,2.65,0.97
41,202,2,6,2.33,0.47
42,189,0,33,4.00,0
42,189,1,90,2.01,0.1
43,125,0,3,3.00,0
44,103,0,6,3.00,0
46,96,0,2,2.50,0.5
47,88,0,9,3.00,0.67
47,88,1,14,2.64,0.89
47,88,2,4,2.00,0
48,79,0,1,3.00,0
