cr,time,inconsistencies,cres,crh
CR1A,5535,241,622,0
CR1B,27347,507,885,0
CR2A,224503,824,2157,0
CR2B,15892,488,1739,0
CR3A,24445,88,2556,0
CR3B,39528,2589,4989,0
CR4A,5570,247,622,0
CR4B,7268,513,885,0
CR5A,18988,253,622,0
CR5B,21921,74,885,0
CR6A,8168,490,622,0
CR6B,21208,74,885,0
CR7A,64962,1810,2157,0
CR7B,20031,1397,1739,0
CR8A,24147,183,622,0
CR8B,199103,67,885,0
CR9A,44807,1707,2556,0
CR9B,109538,5790,9978,0
CR10A,49263,1429,2556,0
CR11A,5911,281,622,0
CR11B,9280,116,885,0
CR12A,5496,197,622,0
CR12B,8567,32,885,0
CR13A,8539,165,622,0
CR13B,11409,0,885,0
CR14A,9066,176,622,0
CR14B,11910,11,885,0
CR1A,7326,591,622,1
CR4A,23930,350,381,1
CR11A,82828,148,375,1
CR12A,40155,26,259,1
CR13A,60526,0,259,1
CR14A,63288,6,259,1
CR5A,40257,83,375,1
CR6A,27654,320,375,1
CR2A,22961,986,2157,1
CR7A,99847,986,1333,1
CR3A,29481,1619,2556,1
CR9A,195439,1619,2468,1
CR10A,65547,0,849,1
CR1B,8987,712,885,1
CR4B,46694,205,378,1
CR11B,87366,142,372,1
CR12B,47094,26,256,1
CR13B,106843,0,372,1
CR14B,105417,11,372,1
CR5B,56232,69,372,1
CR6B,55980,77,372,1
CR8B,74653,8,303,1
CR2B,18710,909,1739,1
CR7B,371161,909,1251,1
CR3B,45700,306,4989,1
CR9B,450877,306,2400,1
CR10B,268776,0,2094,1
CR8A,9034,0,55,1
