totalTime,traceMatrixName,model_name,averageTime
64939,matrixClass,VOD3,206
266973,matrixField,VOD3,647
188055,matrixMethod,VOD3,83
62204,matrixClass,BiterRobocupClient,161
57017,matrixField,BiterRobocupClient,157
365317,matrixMethod,BiterRobocupClient,147
104667,matrixClass,ObstacleRace,232
99075,matrixField,ObstacleRace,266
430741,matrixMethod,ObstacleRace,149
59610,matrixClass,Gantt,318
83677,matrixField,Gantt,192
338049,matrixMethod,Gantt,349
31438,matrixClass,BankApplication,449
29600,matrixField,BankApplication,193
47989,matrixMethod,BankApplication,157
30518,matrixClass,TaxiSystem,469
27906,matrixField,TaxiSystem,218
39616,matrixMethod,TaxiSystem,199
