repairs,size,percentage_owned
423.7500,204,0
1.1667,204,1
427.9167,204,100
37.4138,448,0
41.4828,448,100
5.7500,292,1
2.8333,292,0
8.5833,292,100
4.6491,385,0
1.5439,385,1
6.1930,385,100
3.3333,71,0
4.3333,71,1
9.6667,71,100
153.4162,1540,100
129.1027,1540,0
0.7838,1540,1
3.2903,1257,1
1.8710,1257,0
5.1613,1257,100
64.2925,1464,100
9.5943,1464,1
54.6981,1464,0
9.1522,11419,0
9.1522,11419,100
11.4592,2048,0
11.5306,2048,1
23.9082,2048,100
6.8740,2636,0
6.8740,2636,100
19.9351,1064,0
10.8961,1064,1
25.2208,1064,100
9.6739,15619,0
10.2161,15619,100
0.4869,15619,1
19.4317,9853,0
19.4317,9853,100
13.4312,2796,0
2.1905,2796,1
15.9550,2796,100
10.0145,3009,0
1.2319,3009,1
11.1304,3009,100
4.0690,448,1
6.4020,8771,0
6.4020,8771,100
98.5470,1466,100
93.5128,1466,0
5.0342,1466,1
26.8633,2093,100
21.5683,2093,0
4.5755,2093,1
35.7353,5857,0
39.5974,5857,100
3.3403,5857,1
6.8514,1979,0
6.8514,1979,100
6.1786,621,1
16.8393,621,0
33.3036,621,100
17.4220,1100,0
3.8257,1100,1
33.3945,1100,100
51.8407,1261,0
7.3186,1261,1
60.9646,1261,100
