cre,avg_repairs,std_repair,avg_over,std_over,avg_conflicting,std_conflicting,avg_shared_locations,std_shared_locations
CR01,12.98,7.35,7.53,3.89,4.93,5.54,4.33,3.51
CR02,11.00,0,1.74,1.9,4.71,1.06,4.71,1.06
CR03,9.00,0,7.04,1.32,6.16,3.07,2.98,1.5
CR09,21.00,0,1.70,2,8.89,2.65,8.89,2.65
CR10,12.07,6.78,6.18,3.03,7.32,3.84,4.71,4.05
CR11,12.31,5.71,4.92,3.5,5.45,4.21,4.96,3.7
CR16,8.06,0.72,6.95,0.7,2.05,0.68,2.04,0.46
CR20,11.00,0,1.74,1.9,4.71,1.06,4.71,1.06
CR22,357.25,68.24,69.36,46.22,209.69,50.56,140.40,33.25
CR23,109.23,64.15,13.31,19.91,56.78,26.42,46.60,29.75
CR24,45.53,20.71,39.82,24.12,43.00,21.58,13.01,9.31
